video_id;sync_score;n_cuts;n_beats
705015658165210;1.0;5;43
745787649644781;1.0;1;21
715702134136175;1.0;4;32
722155003617221;1.0;2;20
719744808411950;1.0;1;21
730646079231087;1.0;1;15
727907887245538;1.0;5;20
747581657597562;1.0;1;22
741405950863003;1.0;1;25
716174441497977;1.0;3;31
707391631656603;1.0;1;15
724682588190413;1.0;1;39
692397613792844;1.0;1;20
747134837196233;1.0;1;12
753368007886623;1.0;1;24
689901579108621;1.0;1;22
683405637935599;1.0;1;10
717369514763965;1.0;2;27
721525221451471;1.0;1;17
756694184199664;1.0;3;27
707314670299527;1.0;1;26
758150757621961;1.0;1;28
721081723136878;1.0;2;24
729094793010885;1.0;1;12
759366121402715;1.0;1;24
704968939546031;1.0;1;22
758006594273073;1.0;1;19
740342176476992;1.0;1;17
720227703293854;1.0;2;25
719744546858503;1.0;1;11
726495819201736;1.0;1;18
710455292623174;1.0;2;17
721821906170703;1.0;1;17
733509159207785;1.0;1;22
730909159847272;1.0;3;12
720565882940345;1.0;4;21
731126396922064;1.0;3;16
732612317331172;1.0;3;17
729611560592764;1.0;1;23
746723108073569;1.0;2;17
721193249291429;1.0;4;27
725945569099607;1.0;1;19
729317626836166;1.0;3;12
723378458952371;1.0;1;24
721512456179944;1.0;2;20
724195687369857;1.0;1;26
725606681924762;1.0;1;17
726532662827475;1.0;2;23
711125488497174;1.0;2;21
725055565199316;1.0;1;30
719101267786970;1.0;1;12
723526612041492;1.0;1;11
732572481311534;1.0;1;17
757292272383643;1.0;1;23
729204848245658;1.0;8;15
758975472935015;1.0;5;39
737407261535635;1.0;1;51
727604155950047;1.0;2;15
737922773727109;1.0;2;19
727077826989972;1.0;2;15
711643919828595;1.0;1;34
729045710772633;1.0;1;3
716217490286525;1.0;1;14
716803850677267;1.0;6;18
739176980776445;1.0;1;11
705272783716550;1.0;1;27
713062075084267;1.0;1;36
731765304253330;1.0;1;11
703925971203811;1.0;3;26
706721721592527;1.0;1;33
756627074113446;1.0;2;24
736105745445450;1.0;1;30
716218368542338;1.0;1;28
694065300179113;1.0;1;22
698034216853584;1.0;1;37
757182177874659;1.0;1;22
722676652171921;1.0;1;7
706312102539485;1.0;2;15
713804331608760;1.0;1;35
718555510248741;1.0;1;26
710168593027629;1.0;4;10
737472720839441;1.0;2;16
744198285665981;1.0;1;18
734654106226707;1.0;1;25
720668238653111;1.0;2;26
734876626592781;1.0;1;28
725930784533260;1.0;2;48
721624067109773;1.0;1;14
706795992514147;1.0;1;27
751135787408228;1.0;1;16
736962301208717;1.0;1;17
737999418274142;1.0;1;28
724518252501693;1.0;1;11
691987235728897;1.0;1;33
745838026600484;1.0;3;41
727301608595431;1.0;1;25
745301678846545;1.0;1;26
716394295991689;1.0;2;7
708277253412651;1.0;1;22
721561106728670;1.0;2;22
725199610317899;1.0;1;15
740784395353958;1.0;2;12
731506800153384;1.0;3;18
741410922052351;1.0;4;16
725458878955993;1.0;5;18
745940343012209;1.0;2;13
725083219439288;1.0;1;26
745715509123825;1.0;2;10
723974839097470;1.0;2;8
741815721089669;1.0;1;22
718952821942559;1.0;4;29
749532209506523;1.0;2;19
747433149753383;1.0;1;13
747053238722340;1.0;2;36
749584945322865;1.0;2;22
692160409955311;1.0;2;37
745832861121329;1.0;1;33
701811122676077;1.0;1;22
748949942488482;1.0;3;20
719380871928776;1.0;1;17
732993324077552;1.0;3;37
731685192128800;1.0;3;30
751793910951244;1.0;2;21
744751283535085;1.0;4;20
757929912763736;1.0;1;32
733623812665170;1.0;2;22
756737277106012;1.0;1;30
741407368199289;1.0;2;34
716891605716659;1.0;1;9
753312440406298;1.0;1;21
726010491183094;1.0;1;23
756589057311516;1.0;3;48
753584606047697;1.0;3;30
755955723090377;1.0;1;9
730797144987099;1.0;1;20
758747841661873;1.0;3;29
726195819877553;1.0;1;16
748309800254710;1.0;1;17
746651491813772;1.0;1;14
748682272568479;1.0;4;28
707464402719010;1.0;2;15
698031945068786;1.0;1;25
732806621792998;1.0;1;18
722195310218477;1.0;1;16
707090793572291;1.0;4;31
707278018801838;1.0;9;38
753778729620925;1.0;2;12
706127323425961;1.0;2;17
707650278574272;1.0;1;18
693401232906759;1.0;1;21
759367306147642;1.0;2;31
707390658807924;1.0;5;22
705983246841258;1.0;1;14
732998588353954;1.0;1;18
708574881544931;1.0;5;22
708281581152980;1.0;1;17
733430935206240;1.0;1;9
708652723647131;1.0;2;25
708611145196586;1.0;3;21
706576995469556;1.0;1;10
758372065020073;0.9090909090909091;11;40
731883223784215;0.9090909090909091;11;22
722642859307575;0.8888888888888888;9;26
746537588677940;0.8888888888888888;9;21
721600727231134;0.8888888888888888;9;31
756326588862384;0.8888888888888888;9;14
729826409310067;0.8823529411764706;17;25
722442631507452;0.8823529411764706;17;25
722117753885542;0.88;25;18
723565177780529;0.875;8;16
734837973751908;0.875;8;33
736254404667544;0.875;8;16
696319759542234;0.8666666666666667;15;25
758030562963439;0.8666666666666667;15;20
705313621771760;0.8571428571428571;7;26
696326375863019;0.8333333333333334;12;24
744459510602544;0.8333333333333334;6;20
716590840779337;0.8;10;12
723478243453183;0.8;5;12
719818969475083;0.8;5;37
757223562462789;0.8;10;36
759071890314428;0.8;5;31
746870905751632;0.8;5;14
728648666391054;0.7777777777777778;9;35
681417572370468;0.7777777777777778;9;32
709156918005449;0.7777777777777778;9;16
715656244282946;0.7777777777777778;9;26
704116038833498;0.7777777777777778;9;19
732510684674474;0.75;4;22
696476315297418;0.75;8;36
727871652883962;0.75;4;13
745950372773768;0.75;4;15
702675604780520;0.75;4;17
723419095877288;0.75;4;22
727193538193788;0.75;4;27
756838200333099;0.75;8;12
728352489458588;0.75;4;23
744199725906082;0.75;4;12
743196259890979;0.75;4;26
742972145685186;0.75;4;13
690460921143135;0.75;4;30
711470525389902;0.75;4;24
752064097019969;0.75;4;21
743151065884537;0.75;4;13
707277469421404;0.75;4;25
735108419406112;0.75;4;20
749684504681416;0.75;8;24
719217278772378;0.75;8;14
724528394561965;0.75;4;18
739706276215051;0.75;4;17
729122833712351;0.75;4;18
706458501456175;0.75;4;11
718298336429343;0.75;8;18
757708740050185;0.75;4;21
707613106042098;0.75;16;23
754544673392120;0.7272727272727273;11;29
722671193315043;0.7222222222222222;18;20
757004449600453;0.7222222222222222;18;30
745758286837029;0.7142857142857143;7;26
718043705484353;0.7142857142857143;7;20
747873506488123;0.7142857142857143;7;35
757113426840389;0.7;10;21
707127232674623;0.7;30;21
708455253912692;0.6956521739130435;23;17
734809782032017;0.6923076923076923;13;38
752982061563784;0.6875;16;33
720157924761649;0.6842105263157895;19;22
703628218081693;0.6842105263157895;19;29
716152379115423;0.6666666666666666;6;20
730578172423810;0.6666666666666666;3;20
688079211532914;0.6666666666666666;3;9
721486293413926;0.6666666666666666;3;31
744200922855593;0.6666666666666666;6;21
719819467435445;0.6666666666666666;3;18
709093156848676;0.6666666666666666;3;25
703863836368699;0.6666666666666666;3;23
730247327106739;0.6666666666666666;3;15
722897656544551;0.6666666666666666;9;11
721565640806944;0.6666666666666666;33;17
724830174067032;0.6666666666666666;3;18
723934468800672;0.6666666666666666;3;26
728936888539080;0.6666666666666666;3;21
731730765049925;0.6666666666666666;6;26
722007464308690;0.6666666666666666;6;20
746611778889831;0.6666666666666666;3;29
744234912049851;0.6666666666666666;3;17
736660347027251;0.6666666666666666;3;25
722754722700520;0.6666666666666666;3;13
704555864196907;0.6666666666666666;3;27
731643176019409;0.6666666666666666;3;32
733877710154749;0.6666666666666666;3;18
707500582222849;0.6666666666666666;6;14
750429278163712;0.6666666666666666;3;23
756470432864942;0.6666666666666666;3;19
746489061425815;0.6666666666666666;3;25
738447611974497;0.6666666666666666;9;28
749420566413523;0.6666666666666666;3;15
709414980549615;0.6666666666666666;3;25
743451414169762;0.6666666666666666;6;35
745833135421266;0.6666666666666666;3;22
744006642033292;0.6666666666666666;3;25
748613887802632;0.6666666666666666;3;31
712835386396644;0.6666666666666666;6;22
744718418603465;0.6666666666666666;3;15
757511052252214;0.6666666666666666;3;22
759416001224779;0.6666666666666666;3;26
759857453740754;0.6666666666666666;6;27
733356277475008;0.6666666666666666;3;25
731252303202573;0.6666666666666666;6;15
705388645580595;0.6666666666666666;9;27
706984407912259;0.6666666666666666;3;12
706204639057006;0.6666666666666666;3;19
731951149288836;0.6666666666666666;3;23
741557693157743;0.6666666666666666;3;14
732959685080410;0.6666666666666666;3;22
735070809430273;0.6428571428571429;14;21
715962144431228;0.6363636363636364;11;21
712539215806395;0.6363636363636364;11;19
706197436393926;0.6363636363636364;11;29
701403096148663;0.6363636363636364;11;17
720822000631477;0.625;8;16
723890473625305;0.625;8;20
720883954598976;0.625;8;16
744014088524697;0.625;8;29
757815181858532;0.625;24;23
746571441481413;0.625;8;21
735764673435430;0.6153846153846154;13;24
718409063501878;0.6153846153846154;13;21
757221075093710;0.6153846153846154;26;26
743896688587969;0.6;5;11
716893577277761;0.6;10;12
757957885330833;0.6;5;16
707642324869869;0.6;5;15
754652329448941;0.6;5;27
694429863655360;0.6;10;20
728911544160208;0.6;5;23
725227138546716;0.6;5;15
716441755079149;0.6;10;18
733473461342988;0.6;10;17
706647403561338;0.6;5;28
757221078699134;0.5833333333333334;24;26
746871537874352;0.5714285714285714;7;21
723604311112889;0.5714285714285714;7;18
715844706915230;0.5714285714285714;7;38
718368130520333;0.5714285714285714;21;23
746319857718814;0.5714285714285714;14;31
734547763861977;0.5714285714285714;14;24
721116573895716;0.5625;16;27
706873169970148;0.5625;16;19
735022132231776;0.56;25;14
742902102451722;0.5555555555555556;18;14
729428437645453;0.5555555555555556;9;11
747125114628841;0.5555555555555556;9;18
737256753125872;0.5555555555555556;9;12
708759235666431;0.5555555555555556;9;26
751662409109733;0.55;20;21
739331660092288;0.5454545454545454;11;20
721788841463128;0.5384615384615384;13;21
708765384486320;0.5294117647058824;17;13
747527320649708;0.5238095238095238;42;26
726042054855388;0.5;2;14
747841782037681;0.5;2;22
706450708708616;0.5;2;20
721411327101875;0.5;2;17
686962182503535;0.5;2;34
699483972684697;0.5;2;10
754018595071487;0.5;2;15
729420075658695;0.5;2;21
723972966178835;0.5;4;27
759226386228458;0.5;2;20
717889741810735;0.5;2;20
760296853831953;0.5;2;21
756471268756580;0.5;4;31
703775708979981;0.5;2;23
707832513769877;0.5;4;14
707573457393353;0.5;2;13
703680758411170;0.5;4;16
705050056304533;0.5;4;30
731248471244074;0.5;2;14
700105454280466;0.5;2;29
717880418740325;0.5;4;7
721143181720587;0.5;2;26
730509344592691;0.5;2;16
760327399421673;0.5;18;20
746352018687693;0.5;2;23
756372413924088;0.5;6;12
745498526495226;0.5;4;15
732248881796804;0.5;2;20
724271968212853;0.5;2;16
720992534055734;0.5;4;18
731025830896999;0.5;2;12
703603551186924;0.5;4;15
719229850387857;0.5;2;10
719521545097060;0.5;2;28
743493118864235;0.5;2;3
707152189708262;0.5;4;21
715581473189737;0.5;2;33
706202353176425;0.5;6;27
705532132717494;0.5;2;33
705494883871649;0.5;4;15
755576093279476;0.5;32;17
684790254109566;0.5;8;27
720668097255575;0.5;2;21
751032606067697;0.5;2;8
748355412266323;0.5;4;13
724630104197988;0.5;6;19
726199673944659;0.5;16;18
754961577732687;0.5;6;10
752251182289361;0.5;2;11
712437469052041;0.5;2;9
755541296851142;0.5;2;19
739997563811278;0.5;2;19
727489739904524;0.5;2;16
733877828659765;0.5;6;17
732101235859423;0.5;2;6
730427240654831;0.5;2;16
730913363557823;0.5;2;21
729720557550127;0.5;2;13
706350539930714;0.5;6;11
706497710503285;0.5;2;6
751764498631002;0.5;2;20
707540688111144;0.5;2;1
734662354622909;0.5;2;19
754552830423784;0.5;2;19
759382095581059;0.5;6;28
698069698613571;0.5;4;13
707941895031596;0.5;6;16
718634425492128;0.5;6;26
708053530781629;0.5;2;21
707241575058925;0.5;2;26
706019169568137;0.47368421052631576;19;19
721271065767267;0.4642857142857143;112;23
714137184524843;0.46153846153846156;13;22
724634316410829;0.4444444444444444;9;16
752428566669227;0.4444444444444444;9;24
744197660473093;0.4444444444444444;9;30
731870761433284;0.42857142857142855;7;19
748639134672753;0.42857142857142855;7;10
695833815461722;0.42857142857142855;14;15
744384644636277;0.42857142857142855;7;17
707498759402670;0.4222222222222222;45;15
748530168093068;0.4166666666666667;12;12
717968814438251;0.40625;32;10
747021256039910;0.4;5;24
714287458675597;0.4;5;27
748732854049762;0.4;10;24
744943023711440;0.4;5;6
742590456469763;0.4;5;16
685264047101392;0.4;5;21
693694310252337;0.4;5;11
709427015427560;0.4;5;12
758492775849769;0.4;5;20
707759732166754;0.4;5;14
708018806056183;0.4;15;13
734917330461316;0.4;15;15
748322088375930;0.375;8;11
745832524062866;0.375;24;23
737253419177638;0.375;8;9
753807634950068;0.375;16;16
746351608108102;0.375;8;12
755699909863788;0.375;8;32
705561053974919;0.36363636363636365;11;17
697241628076264;0.3548387096774194;31;16
742596586992414;0.35;20;21
715805791843112;0.3333333333333333;3;19
748289826590664;0.3333333333333333;3;21
732956086451890;0.3333333333333333;3;24
679213361036006;0.3333333333333333;3;18
726246580794964;0.3333333333333333;3;14
731062643312927;0.3333333333333333;3;23
713090665588510;0.3333333333333333;3;23
727559224308647;0.3333333333333333;9;13
728978562536715;0.3333333333333333;3;21
725718170424102;0.3333333333333333;3;15
728057151113878;0.3333333333333333;3;30
735400916579621;0.3333333333333333;3;15
733141535082891;0.3333333333333333;3;11
720261794898331;0.3333333333333333;6;21
727275530965809;0.3333333333333333;3;19
710727036730304;0.3333333333333333;9;19
725646484513282;0.3333333333333333;3;25
701152230919851;0.3333333333333333;15;5
745313216894091;0.3333333333333333;3;12
747118636650053;0.3333333333333333;3;19
734366566287678;0.3333333333333333;3;16
730655917321748;0.3333333333333333;9;22
748056383931926;0.3333333333333333;3;19
756885243327159;0.3333333333333333;3;34
750951287802678;0.3333333333333333;3;12
757259815406399;0.3333333333333333;3;11
749022258888342;0.3333333333333333;3;10
747128667349452;0.3333333333333333;3;28
759641261440246;0.3333333333333333;9;13
707351373239504;0.3333333333333333;6;12
721746314406984;0.3333333333333333;3;13
746194090289060;0.3333333333333333;3;16
717586460902949;0.3225806451612903;31;25
722308046810148;0.3;10;7
700786340812921;0.3;10;20
687569901952029;0.2857142857142857;7;19
757189390875445;0.2857142857142857;7;22
736842798453912;0.2857142857142857;14;22
757583120211704;0.2857142857142857;7;11
720596141194246;0.2857142857142857;7;16
718587234398870;0.2857142857142857;7;10
733586125355178;0.2727272727272727;11;19
728266826461700;0.2727272727272727;11;15
733370192157385;0.2727272727272727;22;7
726417366961267;0.26666666666666666;15;18
683442053754508;0.25;8;18
720855163786926;0.25;4;9
747908127174698;0.25;4;19
719855888894011;0.25;4;29
730432674225520;0.25;8;22
748581848472356;0.25;4;21
729317398914336;0.25;4;5
704160348274223;0.25;4;21
733805224265159;0.25;4;6
745684069398246;0.25;4;11
707757136166052;0.25;4;16
744162619276088;0.25;8;12
722563232314694;0.25;8;17
744014204054282;0.25;4;7
721305335029045;0.25;12;7
740332956055452;0.25;4;17
730658545030555;0.25;4;14
721523832124775;0.25;4;21
709940697643771;0.25;8;13
758225454623623;0.25;4;24
746906727379445;0.25;4;21
749536856182153;0.25;4;14
733995246990197;0.25;4;10
708798464186450;0.25;4;11
751047950359290;0.22807017543859648;57;14
721379554057473;0.2222222222222222;9;13
728686315502680;0.2;5;19
718039234183910;0.2;10;16
719967793594977;0.2;5;18
718154799206167;0.2;5;14
735095446299268;0.2;5;20
701930730129942;0.2;5;23
716663721360467;0.2;5;17
716135412084942;0.2;5;11
745157989004802;0.2;5;17
729615499668341;0.18518518518518517;27;19
734871731685671;0.18181818181818182;11;16
729465985543491;0.16666666666666666;6;11
701955915542595;0.16666666666666666;6;16
724455909935297;0.16666666666666666;6;9
744485603248611;0.16666666666666666;6;14
729685534871401;0.16666666666666666;6;7
730838951011351;0.15;20;10
695919299301428;0.14285714285714285;7;20
718043229015195;0.14285714285714285;21;19
717482337945364;0.14285714285714285;14;10
734554312240072;0.125;56;12
746056817572639;0.125;8;2
720925978426306;0.08333333333333333;12;8
725227496420683;0.08333333333333333;12;9
733283582657916;0.08064516129032258;62;12
718483136442281;0.0;0;11
707048606218273;0.0;0;28
730911373436078;0.0;0;23
688573512401355;0.0;0;25
728566977303000;0.0;0;16
721488681836849;0.0;0;21
732322482216975;0.0;0;10
719151588333066;0.0;0;30
682597587994082;0.0;0;20
726272875377882;0.0;0;25
689453088610504;0.0;0;14
688598438567012;0.0;0;28
707821642713147;0.0;0;24
726524295904872;0.0;0;7
729725604054493;0.0;0;16
722564149824989;0.0;0;12
720859055034843;0.0;0;11
720041826962958;0.0;0;8
718555579644327;0.0;1;3
722417714626306;0.0;0;31
718992798417266;0.0;0;17
726567794322807;0.0;0;12
692325808552811;0.0;0;20
675098314187322;0.0;1;8
718520034031096;0.0;2;10
686076621399209;0.0;0;17
719560736581363;0.0;0;19
719450163011127;0.0;0;21
726346017946168;0.0;0;11
726451943508646;0.0;0;9
726236396715722;0.0;0;32
676467853734661;0.0;0;8
687561042257835;0.0;0;31
687821936739026;0.0;0;30
691392949030542;0.0;0;15
721006730409517;0.0;0;24
729913214916736;0.0;0;19
726196525086446;0.0;0;18
719225418596904;0.0;0;7
688607631528855;0.0;0;15
688011794243295;0.0;0;13
755182083061589;0.0;1;33
730687069413718;0.0;0;18
691504565499791;0.0;0;8
718445701421765;0.0;2;16
711347233191729;0.0;0;13
727240219123358;0.0;0;15
692754722948605;0.0;0;19
721379486363091;0.0;0;10
720487014785574;0.0;1;13
719375154774922;0.0;0;8
713016926745407;0.0;0;23
717402229597800;0.0;3;16
733029352039527;0.0;0;21
722341037246261;0.0;1;20
729977718282864;0.0;0;14
722524536267876;0.0;2;8
689645561752381;0.0;0;9
676886077752582;0.0;0;6
730766336909020;0.0;0;19
719708654247985;0.0;0;28
673980477101377;0.0;1;1
720011233187389;0.0;0;11
693023600665436;0.0;0;17
687940733548421;0.0;0;13
715954432806127;0.0;0;12
732442197361282;0.0;0;3
757929392679692;0.0;0;27
716730981851922;0.0;0;29
729641726459144;0.0;0;20
748197742022077;0.0;0;12
727089150434694;0.0;0;14
695842499696435;0.0;0;20
725492953655756;0.0;0;22
687636984359194;0.0;0;34
712393138696418;0.0;1;22
688338958327118;0.0;0;24
693683514630167;0.0;1;19
706537284142380;0.0;0;11
725598123437406;0.0;0;11
688387679338057;0.0;0;32
689131969722089;0.0;2;15
751767618136629;0.0;0;7
716701494562678;0.0;0;8
747948118410004;0.0;0;13
741558934198198;0.0;0;23
729607501373461;0.0;2;17
679864109410926;0.0;0;25
701266193747753;0.0;0;24
749098427404946;0.0;0;19
746831384423070;0.0;0;17
720893334993345;0.0;1;21
689529277285782;0.0;0;23
728826126375744;0.0;0;25
721083453259196;0.0;0;10
716243951442891;0.0;0;11
707909551090422;0.0;0;43
711615872428840;0.0;0;6
689574739640428;0.0;0;11
688788384595417;0.0;0;7
720368404060663;0.0;0;27
734480206001925;0.0;0;43
686480646732990;0.0;0;12
712094494327053;0.0;2;25
741326988484026;0.0;0;14
705004319273291;0.0;0;16
708171177408448;0.0;0;31
714662407961579;0.0;0;15
718776282527046;0.0;0;7
745639298689773;0.0;0;7
749011951173196;0.0;2;24
734134615902324;0.0;1;27
731582428817349;0.0;0;17
732685770395810;0.0;0;34
741293942108909;0.0;0;15
718333223460526;0.0;0;8
716842688485274;0.0;0;17
741554167036150;0.0;0;6
692323506199937;0.0;0;20
686445882801289;0.0;0;24
735322611866258;0.0;0;7
716729236285779;0.0;1;14
692286822089025;0.0;0;31
717140828778578;0.0;0;22
729578544352892;0.0;0;1
729612447813057;0.0;0;13
697967302550336;0.0;1;12
741035906068129;0.0;0;19
689605576198263;0.0;1;14
704269498714174;0.0;0;23
711137931790033;0.0;0;12
737916780767976;0.0;0;20
679864887140181;0.0;0;17
717588125423396;0.0;0;24
740078470163341;0.0;0;12
741813377840665;0.0;0;16
747134953249684;0.0;0;8
721964673390145;0.0;5;15
741369983046939;0.0;0;16
706053996145964;0.0;0;13
758451929845917;0.0;1;18
758410548171984;0.0;0;26
704383430745814;0.0;0;22
720487467336712;0.0;0;18
757517089745194;0.0;0;16
708228607841725;0.0;0;10
733807075250102;0.0;0;27
729688986600291;0.0;0;15
706979909857611;0.0;0;22
734841356779784;0.0;0;5
720784211031626;0.0;0;13
704637040775828;0.0;0;24
742183813262400;0.0;0;10
757475908036811;0.0;1;19
693725154729004;0.0;0;24
721007406376563;0.0;0;18
722343060454783;0.0;0;16
730135053132536;0.0;0;18
745159921854597;0.0;0;27
728872037977280;0.0;0;18
706571370283363;0.0;0;28
756595302141121;0.0;0;19
731285156303733;0.0;0;14
679447037321258;0.0;0;19
705720075347095;0.0;0;17
715846826807474;0.0;1;9
758713490085210;0.0;2;24
708315556981258;0.0;1;2
712507689272975;0.0;0;9
732733328029712;0.0;0;15
706868278643713;0.0;0;28
705930210371340;0.0;0;23
731990215268671;0.0;0;23
757708882817173;0.0;0;8
734253634456189;0.0;1;16
703978033773973;0.0;0;15
714102921224423;0.0;0;22
718818900685157;0.0;0;14
679636335181655;0.0;0;17
706274074999297;0.0;0;16
760636080123401;0.0;0;9
703797489455389;0.0;0;1
758707012055658;0.0;0;14
719045697241886;0.0;0;13
734068434604029;0.0;0;17
748093833513386;0.0;0;11
756631359635177;0.0;0;11
728909237103000;0.0;0;24
679560600222279;0.0;0;12
704196907924624;0.0;1;14
737781107063692;0.0;0;15
702897821711768;0.0;1;15
729839383020464;0.0;0;20
701838308020535;0.0;0;22
759228195120613;0.0;1;22
703753251897896;0.0;0;31
716738611204068;0.0;0;20
719485937222748;0.0;4;4
706829828338650;0.0;0;11
717073013896597;0.0;0;19
726488469963646;0.0;0;1
720895261033682;0.0;0;13
708091560872799;0.0;0;21
720376376053889;0.0;0;23
679703927305385;0.0;0;18
749395566400849;0.0;1;13
746161511841407;0.0;0;20
730543559349908;0.0;0;11
760341246106829;0.0;2;33
720634263731660;0.0;1;14
759340367529746;0.0;0;6
757510575437445;0.0;0;24
705422241624700;0.0;0;13
756406936660667;0.0;0;15
718445939014397;0.0;0;23
728092574618340;0.0;5;11
759018408712266;0.0;0;31
748024411120797;0.0;0;14
742192768496550;0.0;0;11
694354042414149;0.0;0;14
707652605934410;0.0;0;16
693581775189842;0.0;1;11
758342020762922;0.0;0;22
759491170261377;0.0;0;22
745833654549019;0.0;5;16
749324893346074;0.0;0;22
728798370295986;0.0;0;13
715067674593758;0.0;0;30
702080025195092;0.0;0;6
692766589245723;0.0;0;45
718743639013145;0.0;0;20
732250225561631;0.0;2;10
734551548028892;0.0;0;18
679376569461914;0.0;0;12
719708026462596;0.0;1;7
758120534442092;0.0;0;18
717741741454242;0.0;0;15
705458223398995;0.0;0;28
705754820062591;0.0;5;19
706312715706884;0.0;0;26
745423356626485;0.0;0;18
709418742081980;0.0;0;19
744223540575733;0.0;4;11
719782422598872;0.0;0;14
705831387171871;0.0;4;18
718297897425394;0.0;0;17
729354162435999;0.0;0;19
757709679758005;0.0;0;16
720301920385766;0.0;1;1
704234718917940;0.0;0;5
716923854577995;0.0;0;18
730011230817970;0.0;3;10
709577717251372;0.0;0;9
704300903862332;0.0;0;2
734514479109466;0.0;0;10
712248099394815;0.0;0;27
679213126054322;0.0;0;21
718347713824948;0.0;0;26
758292175998535;0.0;0;8
741823032720793;0.0;0;12
729167810294881;0.0;2;16
748430519633243;0.0;0;18
709358165016394;0.0;0;9
714511081100083;0.0;0;11
719448423958328;0.0;0;17
720439562146839;0.0;0;17
719261719285098;0.0;0;6
